         T[MeV]          p/T^4          e/T^4          s/T^3          chi2B          chi4B    chi4B/chi2B
            100       0.266626        1.19473        1.46136     0.00263746     0.00261864       0.992866
            101       0.270608        1.21759         1.4882     0.00289844     0.00287504       0.991928
            102       0.274661        1.24111        1.51577     0.00318006     0.00315107       0.990884
            103       0.278788        1.26531         1.5441     0.00348351     0.00344771       0.989723
            104       0.282992        1.29023        1.57322     0.00381001     0.00376596       0.988437
            105       0.287275        1.31587        1.60315     0.00416084      0.0041068       0.987012
            106       0.291641        1.34227        1.63391     0.00453729     0.00447122       0.985437
            107       0.296094        1.36945        1.66555      0.0049407     0.00486016       0.983699
            108       0.300636        1.39744        1.69808     0.00537243     0.00527457       0.981784
            109       0.305271        1.42626        1.73153     0.00583388     0.00571531       0.979676
            110       0.310003        1.45593        1.76593     0.00632645     0.00618323       0.977361
            111       0.314835        1.48648        1.80132     0.00685159     0.00667908       0.974822
            112        0.31977        1.51794        1.83771     0.00741076     0.00720356       0.972041
            113       0.324812        1.55034        1.87515     0.00800543     0.00775726       0.968999
            114       0.329964        1.58369        1.91366     0.00863708     0.00834064       0.965678
            115        0.33523        1.61803        1.95326     0.00930719     0.00895405       0.962057
            116       0.340615        1.65339          1.994      0.0100172     0.00959767       0.958114
            117        0.34612        1.68978         2.0359      0.0107687      0.0102715       0.953827
            118       0.351751        1.72724          2.079      0.0115631      0.0109754       0.949173
            119       0.357511         1.7658        2.12331      0.0124017      0.0117088       0.944127
            120       0.363404        1.80548        2.16888      0.0132861      0.0124712       0.938665
            121       0.369434         1.8463        2.21573      0.0142175      0.0132615        0.93276
            122       0.375604         1.8883         2.2639      0.0151973      0.0140786       0.926386
            123       0.381918        1.93149        2.31341      0.0162267      0.0149207       0.919517
            124       0.388381        1.97592         2.3643      0.0173069       0.015786       0.912123
            125       0.394997        2.02159        2.41659      0.0184389       0.016672       0.904177
            126       0.401768        2.06855        2.47032      0.0196236      0.0175759        0.89565
            127         0.4087         2.1168         2.5255      0.0208621      0.0184945       0.886514
            128       0.415796        2.16638        2.58218      0.0221549      0.0194241        0.87674
            129       0.423061        2.21731        2.64037      0.0235026      0.0203603         0.8663
            130       0.430497         2.2696         2.7001      0.0249057      0.0212985       0.855166
            131        0.43811        2.32329         2.7614      0.0263643      0.0222333       0.843309
            132       0.445903        2.37839         2.8243      0.0278785      0.0231588       0.830705
            133       0.453879        2.43492         2.8888      0.0294481      0.0240688       0.817328
            134       0.462044         2.4929        2.95495      0.0310726      0.0249561       0.803155
            135       0.470399        2.55234        3.02274      0.0327514      0.0258135       0.788164
            136       0.478951        2.61326        3.09221      0.0344836      0.0266328       0.772335
            137       0.487701        2.67567        3.16338      0.0362678      0.0274058       0.755651
            138       0.496654        2.73959        3.23624      0.0381025      0.0281234         0.7381
            139       0.505813        2.80501        3.31082      0.0399859      0.0287766       0.719669
            140       0.515181        2.87195        3.38713      0.0419158      0.0293559       0.700353
            141       0.524762        2.94041        3.46517      0.0438897      0.0298515       0.680149
            142        0.53456         3.0104        3.54496      0.0459047      0.0302538       0.659057
            143       0.544576        3.08191        3.62648      0.0479576      0.0305531       0.637086
            144       0.554815        3.15494        3.70975      0.0500448      0.0307398       0.614246
            145       0.565278        3.22948        3.79476      0.0521623      0.0308047       0.590556
            146       0.575969        3.30553         3.8815      0.0543058      0.0307391       0.566037
            147        0.58689        3.38308        3.96997      0.0564708      0.0305349        0.54072
            148       0.598044        3.46211        4.06016      0.0586521      0.0301847       0.514639
            149       0.609431        3.54261        4.15204      0.0608445      0.0296822       0.487836
            150       0.621055        3.62456        4.24561      0.0630424      0.0290222        0.46036
            151       0.632917        3.70793        4.34084      0.0652398      0.0282009       0.432265
