         T[MeV]          p/T^4          e/T^4          s/T^3          chi2B          chi4B    chi4B/chi2B
            100       0.266627        1.19477         1.4614     0.00264367     0.00264342       0.999905
            101        0.27061        1.21764        1.48825     0.00290617     0.00290587       0.999897
            102       0.274664        1.24117        1.51583     0.00318965     0.00318929       0.999889
            103       0.278791        1.26539        1.54418     0.00349536     0.00349494        0.99988
            104       0.282995        1.29032        1.57331     0.00382461     0.00382412       0.999871
            105       0.287279        1.31598        1.60326     0.00417877     0.00417819       0.999861
            106       0.291647         1.3424        1.63405     0.00455924     0.00455856       0.999851
            107       0.296101        1.36961        1.66572     0.00496749      0.0049667        0.99984
            108       0.300644        1.39764        1.69828     0.00540503      0.0054041       0.999829
            109       0.305281        1.42649        1.73177     0.00587342     0.00587235       0.999817
            110       0.310015        1.45621        1.76623     0.00637429     0.00637305       0.999805
            111       0.314849        1.48683        1.80167      0.0069093     0.00690787       0.999792
            112       0.319787        1.51835        1.83814      0.0074802     0.00747854       0.999779
            113       0.324833        1.55083        1.87566     0.00808874     0.00808684       0.999765
            114       0.329989        1.58428        1.91427     0.00873679     0.00873461        0.99975
            115        0.33526        1.61873        1.95399     0.00942621     0.00942372       0.999735
            116        0.34065        1.65421        1.99487       0.010159      0.0101561        0.99972
            117       0.346163        1.69076        2.03692      0.0109371      0.0109338       0.999704
            118       0.351802         1.7284         2.0802      0.0117626      0.0117589       0.999687
            119       0.357571        1.76716        2.12473      0.0126376      0.0126334        0.99967
            120       0.363474        1.80708        2.17055      0.0135642      0.0135595       0.999652
            121       0.369516        1.84818        2.21769      0.0145448      0.0145395       0.999633
            122       0.375701        1.89049        2.26619      0.0155816      0.0155756       0.999614
            123       0.382032        1.93406        2.31609       0.016677      0.0166702       0.999595
            124       0.388515        1.97891        2.36742      0.0178332      0.0178256       0.999574
            125       0.395152        2.02507        2.42022      0.0190529      0.0190444       0.999553
            126        0.40195        2.07258        2.47453      0.0203384      0.0203289       0.999532
            127       0.408912        2.12147        2.53039      0.0216924      0.0216818        0.99951
            128       0.416042        2.17178        2.58783      0.0231175      0.0231057       0.999487
            129       0.423345        2.22354        2.64689      0.0246164      0.0246032       0.999464
            130       0.430826        2.27679        2.70761      0.0261917      0.0261771        0.99944
            131        0.43849        2.33155        2.77004      0.0278464      0.0278301       0.999415
            132       0.446341        2.38787        2.83421      0.0295831      0.0295651        0.99939
            133       0.454383        2.44578        2.90017      0.0314049      0.0313849       0.999365
            134       0.462623        2.50532        2.96794      0.0333146      0.0332925       0.999338
            135       0.471063        2.56652        3.03758      0.0353153      0.0352909       0.999311
            136       0.479711        2.62942        3.10913      0.0374099      0.0373832       0.999284
            137       0.488569        2.69405        3.18262      0.0396017      0.0395723       0.999256
            138       0.497644        2.76045         3.2581      0.0418938      0.0418614       0.999227
            139       0.506941        2.82867        3.33561      0.0442893      0.0442538       0.999198
            140       0.516464        2.89872        3.41519      0.0467915      0.0467526       0.999168
            141       0.526219        2.97066        3.49688      0.0494038      0.0493612       0.999137
            142        0.53621        3.04452        3.58073      0.0521294      0.0520828       0.999106
            143       0.546444        3.12033        3.66678      0.0549717      0.0549208       0.999074
            144       0.556926        3.19814        3.75507      0.0579342      0.0578787       0.999042
            145       0.567659        3.27798        3.84564      0.0610204      0.0609599       0.999009
            146       0.578651        3.35988        3.93853      0.0642337      0.0641679       0.998976
            147       0.589907        3.44389         4.0338      0.0675778      0.0675063       0.998942
            148       0.601431        3.53004        4.13147      0.0710562      0.0709785       0.998907
            149        0.61323        3.61837         4.2316      0.0746726      0.0745883       0.998872
            150       0.625308        3.70892        4.33422      0.0784306      0.0783393       0.998836
            151       0.637671        3.80172        4.43939      0.0823341      0.0822352       0.998799
            152       0.650326         3.8968        4.54713      0.0863866      0.0862797       0.998762
            153       0.663276        3.99422        4.65749      0.0905921      0.0904766       0.998725
            154       0.676529        4.09399        4.77052      0.0949542      0.0948296       0.998687
            155       0.690089        4.19617        4.88626       0.099477      0.0993425       0.998648
            156       0.703962        4.30078        5.00475       0.104164       0.104019       0.998609
            157       0.718153        4.40787        5.12602        0.10902       0.108864       0.998569
            158       0.732669        4.51746        5.25013       0.114048        0.11388       0.998529
            159       0.747515         4.6296        5.37711       0.119252       0.119071       0.998488
            160       0.762697        4.74431        5.50701       0.124636       0.124442       0.998446
            161        0.77822        4.86164        5.63986       0.130205       0.129997       0.998404
            162        0.79409        4.98161         5.7757       0.135962       0.135739       0.998362
            163       0.810312        5.10427        5.91459       0.141911       0.141672       0.998318
            164       0.826893        5.22965        6.05654       0.148056       0.147801       0.998275
            165       0.843838        5.35778        6.20162       0.154402       0.154129        0.99823
            166       0.861153        5.48869        6.34984       0.160953       0.160661       0.998185
            167       0.878843        5.62242        6.50126       0.167712         0.1674        0.99814
            168       0.896914          5.759        6.65591       0.174684       0.174351       0.998094
            169       0.915372        5.89846        6.81383       0.181873       0.181518       0.998048
            170       0.934222        6.04084        6.97506       0.189283       0.188905       0.998001
            171        0.95347        6.18616        7.13963       0.196918       0.196515       0.997953
            172       0.973121        6.33446        7.30758       0.204783       0.204354       0.997905
            173       0.993182        6.48577        7.47895       0.212881       0.212424       0.997856
            174        1.01366        6.64011        7.65377       0.221216       0.220731       0.997807
            175        1.03455        6.79752        7.83207       0.229794       0.229278       0.997757
            176        1.05587        6.95803         8.0139       0.238617        0.23807       0.997707
            177        1.07763        7.12166        8.19929       0.247691        0.24711       0.997656
            178        1.09982        7.28845        8.38826       0.257019       0.256403       0.997605
            179        1.12245        7.45841        8.58086       0.266605       0.265953       0.997553
            180        1.14553        7.63159        8.77712       0.276454       0.275763       0.997501
            181        1.16906        7.80799        8.97706        0.28657       0.285838       0.997448
            182        1.19305        7.98766        9.18072       0.296956       0.296182       0.997394
            183        1.21751        8.17061        9.38812       0.307617       0.306799        0.99734
            184        1.24243        8.35688        9.59931       0.318558       0.317693       0.997285
            185        1.26783        8.54647        9.81431       0.329781       0.328868        0.99723
            186        1.29371        8.73943        10.0331       0.341292       0.340328       0.997175
            187        1.32007        8.93576        10.2558       0.353094       0.352076       0.997118
            188        1.34693         9.1355        10.4824       0.365191       0.364118       0.997062
            189        1.37427        9.33867        10.7129       0.377588       0.376456       0.997004
            190        1.40212        9.54528        10.9474       0.390287       0.389096       0.996946
            191        1.43048        9.75536        11.1858       0.403294       0.402039       0.996888
            192        1.45934        9.96892        11.4283       0.416613       0.415292       0.996829
            193        1.48872         10.186        11.6747       0.430246       0.428856        0.99677
            194        1.51861        10.4066        11.9252       0.444198       0.442737        0.99671
            195        1.54903        10.6307        12.1798       0.458473       0.456937       0.996649
            196        1.57998        10.8584        12.4384       0.473075       0.471461       0.996588
            197        1.61147        11.0897        12.7012       0.488008       0.486313       0.996526
            198        1.64349        11.3246        12.9681       0.503275       0.501495       0.996464
            199        1.67606         11.563        13.2391        0.51888       0.517012       0.996401
            200        1.70917        11.8051        13.5143       0.534826       0.532868       0.996338
            
