         T[MeV]          p/T^4          e/T^4          s/T^3          chi2B          chi4B    chi4B/chi2B
            100       0.266627        1.19477        1.46139     0.00264343     0.00264243       0.999624
            101        0.27061        1.21763        1.48824      0.0029058     0.00290435       0.999501
            102       0.274664        1.24116        1.51583     0.00318909     0.00318703       0.999354
            103       0.278791        1.26538        1.54417     0.00349456      0.0034917        0.99918
            104       0.282995        1.29031         1.5733      0.0038235     0.00381958       0.998976
            105       0.287279        1.31597        1.60325     0.00417724     0.00417196       0.998737
            106       0.291646        1.34239        1.63403     0.00455718     0.00455015       0.998458
            107         0.2961        1.36959        1.66569     0.00496473     0.00495547       0.998134
            108       0.300643        1.39761        1.69825     0.00540139      0.0053893       0.997761
            109        0.30528        1.42646        1.73174     0.00586868     0.00585301       0.997331
            110       0.310014        1.45617        1.76618     0.00636815     0.00634801       0.996837
            111       0.314847        1.48677        1.80161     0.00690142     0.00687571       0.996273
            112       0.319785        1.51828        1.83807     0.00747015     0.00743751        0.99563
            113       0.324829        1.55074        1.87557     0.00807602     0.00803483       0.994899
            114       0.329985        1.58416        1.91415     0.00872077     0.00866906        0.99407
            115       0.335255        1.61859        1.95384     0.00940615     0.00934156       0.993132
            116       0.340644        1.65404        1.99469       0.010134      0.0100537       0.992074
            117       0.346155        1.69055         2.0367      0.0109061      0.0108066       0.990882
            118       0.351792        1.72814        2.07993      0.0117243      0.0116017       0.989542
            119       0.357559        1.76684         2.1244      0.0125906        0.01244       0.988039
            120        0.36346        1.80669        2.17015      0.0135067      0.0133224       0.986356
            121       0.369499        1.84771        2.21721      0.0144747      0.0142499       0.984474
            122        0.37568        1.88994        2.26562      0.0154963      0.0152232       0.982375
            123       0.382007        1.93339         2.3154      0.0165737      0.0162428       0.980036
            124       0.388484        1.97811        2.36659      0.0177085      0.0173089       0.977434
            125       0.395116        2.02412        2.41923      0.0189028      0.0184216       0.974544
            126       0.401906        2.07145        2.47335      0.0201584      0.0195806       0.971337
            127       0.408859        2.12013        2.52899      0.0214771      0.0207852       0.967786
            128       0.415979        2.17019        2.58617      0.0228606      0.0220343       0.963856
            129        0.42327        2.22166        2.64493      0.0243107      0.0233265       0.959515
            130       0.430738        2.27457        2.70531       0.025829      0.0246595       0.954724
            131       0.438385        2.32895        2.76733      0.0274169      0.0260309       0.949444
            132       0.446217        2.38482        2.83103       0.029076       0.027437       0.943631
            133       0.454238        2.44221        2.89644      0.0308075       0.028874        0.93724
            134       0.462451        2.50114         2.9636      0.0326124      0.0303368       0.930221
            135       0.470863        2.56165        3.03252      0.0344918      0.0318194       0.922522
            136       0.479476        2.62376        3.10323      0.0364462       0.033315       0.914086
            137       0.488295        2.68748        3.17578      0.0384763      0.0348155       0.904855
            138       0.497326        2.75285        3.25017      0.0405822      0.0363116       0.894766
            139        0.50657        2.81987        3.32644      0.0427639      0.0377927       0.883753
            140       0.516034        2.88857        3.40461      0.0450209      0.0392468       0.871747
            141       0.525721        2.95897        3.48469      0.0473525      0.0406604       0.858675
            142       0.535636        3.03108        3.56671      0.0497575      0.0420184       0.844465
            143       0.545781         3.1049        3.65068      0.0522343      0.0433041       0.829037
            144       0.556162        3.18046        3.73662      0.0547807      0.0444992       0.812315
            145       0.566782        3.25775        3.82453      0.0573941      0.0455835       0.794218
            146       0.577645        3.33678        3.91442      0.0600714      0.0465354       0.774668
            147       0.588754        3.41755         4.0063      0.0628088      0.0473318       0.753585
            148       0.600112        3.50005        4.10017      0.0656017      0.0479479       0.730894
            149       0.611724        3.58429        4.19601      0.0684452       0.048358       0.706522
            150       0.623591        3.67025        4.29384      0.0713333      0.0485353       0.680403
            151       0.635718        3.75791        4.39362      0.0742595      0.0484525       0.652476
            152       0.648106        3.84725        4.49536      0.0772164      0.0480821       0.622693
            153       0.660757        3.93826        4.59902      0.0801959       0.047397       0.591015
            154       0.673675         4.0309        4.70457      0.0831892      0.0463714        0.55742
            155        0.68686        4.12514          4.812      0.0861865       0.044981       0.521903
            156       0.700315        4.22094        4.92125      0.0891774      0.0432045       0.484478
            157        0.71404        4.31826         5.0323      0.0921507      0.0410239       0.445182
            158       0.728036        4.41705        5.14509      0.0950946      0.0384259       0.404081
            159       0.742305        4.51726        5.25956      0.0979966      0.0354028       0.361265
            160       0.756846        4.61882        5.37567       0.100844      0.0319533       0.316859
            161       0.771658        4.72168        5.49334       0.103622      0.0280836       0.271018
            162       0.786742        4.82577        5.61251       0.106319      0.0238081       0.223931
            163       0.802097        4.93101        5.73311        0.10892      0.0191503        0.17582
            164        0.81772        5.03734        5.85506        0.11141      0.0141427       0.126942
            165        0.83361        5.14466        5.97827       0.113778     0.00882732       0.077584
            166       0.849766         5.2529        6.10267       0.116008     0.00325544      0.0280622
            167       0.866183        5.36198        6.22816       0.118088    -0.00251321     -0.0212826
            168        0.88286         5.4718        6.35466       0.120006    -0.00841127     -0.0700904
            169       0.899792        5.58228        6.48207       0.121751     -0.0143652      -0.117988
            170       0.916975        5.69333        6.61031       0.123313     -0.0202969      -0.164596
            171       0.934407        5.80487        6.73927       0.124683     -0.0261259      -0.209538
            172       0.952081         5.9168        6.86888       0.125854     -0.0317714      -0.252447
            173       0.969993        6.02904        6.99904       0.126819     -0.0371549      -0.292976
            174       0.988137        6.14152        7.12966       0.127575     -0.0422022      -0.330802
            175        1.00651        6.25416        7.26067        0.12812     -0.0468461      -0.365641
            176         1.0251        6.36688        7.39198       0.128453     -0.0510276      -0.397247
            177        1.04391        6.47961        7.52353       0.128575     -0.0546986      -0.425421
            178        1.06293         6.5923        7.65523       0.128489     -0.0578222      -0.450016
            179        1.08215        6.70489        7.78704         0.1282     -0.0603739      -0.470935
            180        1.10157        6.81733         7.9189       0.127713     -0.0623418      -0.488138
            181        1.12118        6.92957        8.05075       0.127037     -0.0637261      -0.501634
            182        1.14097        7.04159        8.18256        0.12618     -0.0645387      -0.511482
            183        1.16094        7.15336         8.3143       0.125151     -0.0648019       -0.51779
            184        1.18108        7.26484        8.44593       0.123962     -0.0645473      -0.520703
            185        1.20139        7.37604        8.57743       0.122623     -0.0638136      -0.520404
            186        1.22186        7.48694         8.7088       0.121147     -0.0626457      -0.517103
            187        1.24248        7.59755        8.84003       0.119547     -0.0610923      -0.511033
            188        1.26325        7.70786        8.97111       0.117833     -0.0592043      -0.502443
            189        1.28416         7.8179        9.10206       0.116019     -0.0570339      -0.491591
            190        1.30521        7.92768        9.23288       0.114117     -0.0546323      -0.478741
            191        1.32639        8.03721         9.3636       0.112138     -0.0520492      -0.464153
            192         1.3477        8.14653        9.49423       0.110095     -0.0493315      -0.448083
            193        1.36913        8.25567         9.6248       0.107997     -0.0465228      -0.430777
            194        1.39069        8.36466        9.75534       0.105857     -0.0436626      -0.412469
            195        1.41235        8.47353        9.88589       0.103683     -0.0407865      -0.393378
            196        1.43414        8.58233        10.0165       0.101485     -0.0379254      -0.373706
            197        1.45603         8.6911        10.1471      0.0992706      -0.035106       -0.35364
            198        1.47802        8.79987        10.2779      0.0970488     -0.0323509      -0.333347
            199        1.50012         8.9087        10.4088      0.0948264     -0.0296784      -0.312976
            200        1.52233        9.01762        10.5399      0.0926099     -0.0271032       -0.29266
            
